ticker	name	fundType	manager	lastDividendYield	lastEarning	equity	equityPerShare	registrationDate	managementType	shareQuantity	standardDeviation	mean	median	sampleSize
PATC11	Pátria Edifícios Corporativos	Tijolo: Escritórios	Modal DTVM	0,005	R$0,30	R$299,17 M	R$86,03	11/01/2018	Desenvolvimento para Renda Gestão Ativa	3.477.434	0,00046	0,00444	0,00444	10
PATL11	Pátria Logística	Tijolo: Galpões	Vórtx DTVM LTDA	0,0092	R$0,57	R$476,25 M	R$95,41	15/01/2020	Desenvolvimento para Renda Gestão Ativa	4.991.535	0,00087	0,00687	0,00687	10
PBLV11	Prologis Brazil Logistics Venture	Tijolo: Galpões	BRL Trust DTVM	0,0	R$26,39	R$4,03 B	R$1.346,96	05/12/2018	Híbrido Gestão Ativa	2.989.159	-1.0	-1.0	0	0
PEMA11	Performa Real Estate	Papel: CRIs	BRL Trust DTVM	0,042	R$2,86	R$48,54 M	R$87,94	30/10/2019	Títulos e Valores Mobiliários Gestão Ativa	552.000	0,01382	0,01917	0,01917	3
PLCR11	Plural Recebíveis	Papel: CRIs	Brasil Plural S.A. Banco Múltiplo	0,0111	R$0,90	R$192,71 M	R$91,37	31/07/2019	Híbrido Gestão Ativa	2.109.169	0,00096	0,00919	0,00919	10
PLOG11	Plural Logística	Tijolo: Galpões	Banco Genial	0,0104	R$0,72	R$71,56 M	R$95,42	01/12/2020	Renda Gestão Ativa	750.000	0,00261	0,00706	0,00706	8
PLRI11	Polo Recebíveis Imobiliários I	Papel: CRIs	Oliveira Trust	0,0042	R$0,16	R$42,84 M	R$44,89	01/08/2011	Títulos e Valores Mobiliários Gestão Ativa	954.304	0,00188	0,00520	0,00520	10
PORD11	Polo Recebíveis Imobiliários II	Papel: CRIs	Oliveira Trust	0,0104	R$0,93	R$368,31 M	R$98,78	19/09/2012	Títulos e Valores Mobiliários Gestão Ativa	3.728.375	0,00076	0,00897	0,00897	10
PQAG11	Parque Anhanguera	Tijolo: Galpões	Hedge Investments DTVM LTDA	0,006	R$0,37	R$795,77 M	R$56,87	31/03/2011	Desenvolvimento para Renda Gestão Ativa	13.991.890	0,00036	0,00555	0,00555	10
PQDP11	Parque Dom Pedro Shopping Center	Tijolo: Shoppings	BTG Pactual	0,0066	R$12,67	R$865,36 M	R$3.628,71	12/05/2009	Renda Gestão Passiva	238.477	0,00251	0,00388	0,00388	10
