ticker	name	fundType	manager	lastDividendYield	lastEarning	equity	equityPerShare	registrationDate	managementType	shareQuantity	standardDeviation	mean	median	sampleSize
ABCP11	Grand Plaza Shopping	Tijolo: Shoppings	Rio Bravo Investimentos	0,0062	R$0,42	R$1,08 B	R$88,62	15/05/1996	Renda Gestão Passiva	12.203.833	0,00186	0,00547	0,00547	10
AFCR11	AF Invest FII Recebíveis Imobiliários	Papel: CRIs	CM Capital Markets	0,011200000000000002	R$1,18	R$154,89 M	R$102,29	05/09/2019	Híbrido Gestão Ativa	1.514.227	0,00159	0,00996	0,00996	10
AFHI11	AF Invest CRI	Papel: CRIs	BTG Pactual	0,011200000000000002	R$1,05	R$174,53 M	R$97,63	20/10/2020	Títulos e Valores Mobiliários Gestão Ativa	1.787.671	0,00211	0,00872	0,00872	6
AFOF11	Alianza FOF	Papel: Fundo de Fundos	BRL Trust DTVM	0,0103	R$0,84	R$69,52 M	R$100,58	22/01/2020	Títulos e Valores Mobiliários Gestão Ativa	691.192	0,01101	0,01433	0,01433	4
AIEC11	Autonomy Edifícios Corporativos	Tijolo: Escritórios	Modal DTVM	0,0083	R$0,61	R$485,07 M	R$100,53	24/08/2020	Renda Gestão Ativa	4.824.988	0,00057	0,00661	0,00661	10
ALMI11	Torre Almirante	Tijolo: Escritórios	BTG Pactual	0,0003	R$0,37	R$228,91 M	R$2.058,96	03/01/2006	Renda Gestão Passiva	111.177	0,01132	0,01516	0,01516	10
ALZR11	Alianza Trust Renda Imobiliária	Tijolo: Híbrido	BTG Pactual	0,0054	R$0,62	R$642,99 M	R$108,58	20/10/2017	Renda Gestão Ativa	5.922.011	0,00088	0,00495	0,00495	10
ANCR11B	Ancar IC	Tijolo: Shoppings	Genial Investimentos Corretora de Valores	0,0111	R$37,53	R$1,52 B	R$3.368,54	11/04/2011	Desenvolvimento para Renda Gestão Ativa	451.113	-1.0	-1.0	0	0
ARCT11	Riza Arctium Real Estate	Tijolo: Galpões	BTG Pactual	0,011200000000000002	R$1,12	R$164,72 M	R$103,11	31/07/2017	Híbrido Gestão Ativa	1.597.568	0,00906	0,01204	0,01204	10
ARRI11	Átrio Reit Recebíveis Imobiliários	Papel: CRIs	Oliveira Trust	0,0115	R$1,11	R$99,66 M	R$95,07	01/07/2019	Títulos e Valores Mobiliários Gestão Ativa	1.048.320	0,00257	0,01090	0,01090	10
ATCR11	HAZ	Tijolo: Escritórios	RJI CTVM LTDA	0,0	R$0,22	R$72,80 M	R$78,38	12/11/2004	Títulos e Valores Mobiliários Gestão Ativa	928.908	-1.0	-1.0	0	0
ATSA11	Hedge Atrium Shopping Santo André	Tijolo: Shoppings	Hedge Investments DTVM LTDA	0,0026	R$0,25	R$172,59 M	R$98,56	13/12/2010	Desenvolvimento para Renda Gestão Passiva	1.751.141	0,00134	0,00269	0,00269	7
BARI11	Barigui Rendimento Imobiliários I	Papel: CRIs	Oliveira Trust	0,0111	R$1,15	R$473,32 M	R$102,14	05/07/2018	Títulos e Valores Mobiliários Gestão Ativa	4.634.191	0,00280	0,01184	0,01184	10
BBFI11B	BB Progressivo	Tijolo: Escritórios	BTG Pactual	0,012	R$27,39	R$329,13 M	R$2.531,79	26/07/2004	Renda Gestão Passiva	130.000	0,00169	0,01152	0,01152	10
BBFO11	BB Fundo de Fundos	Papel: Fundo de Fundos	BB Gestão de Recursos	0,0083	R$0,60	R$351,72 M	R$87,84	26/10/2020	Títulos e Valores Mobiliários Gestão Passiva	4.003.900	0,00136	0,00608	0,00608	9
BBIM11	BB Recebiveis Imobiliários	Papel: CRIs	BB Gestão de Recursos	0,0	R$0,70	R$51,89 M	R$50,13	12/09/2014	Títulos e Valores Mobiliários Gestão Ativa	1.035.000	-1.0	-1.0	0	0
